datetime;value
05/10/2016 09:31:13;0.0
05/10/2016 09:31:18;0.0
05/10/2016 09:31:23;0.0
05/10/2016 09:31:28;0.0
05/10/2016 09:31:33;0.0
05/10/2016 09:31:38;0.0
05/10/2016 09:31:43;0.0
05/10/2016 09:31:48;0.0
05/10/2016 09:31:53;0.0
05/10/2016 09:31:58;0.0
05/10/2016 09:32:03;0.0
05/10/2016 09:32:08;0.0
05/10/2016 09:32:13;0.0
05/10/2016 09:32:18;0.0
05/10/2016 09:32:23;0.0
05/10/2016 09:32:28;0.0
05/10/2016 09:32:33;0.0
05/10/2016 09:32:38;0.0
05/10/2016 09:32:43;0.0
05/10/2016 09:32:48;0.0
05/10/2016 09:32:53;0.0
05/10/2016 09:32:58;0.0
05/10/2016 09:33:03;0.0
05/10/2016 09:33:08;0.0
05/10/2016 09:33:13;0.0
05/10/2016 09:33:18;0.0
05/10/2016 09:33:23;0.0
05/10/2016 09:33:28;0.0
05/10/2016 09:33:33;0.0
05/10/2016 09:33:38;0.0
05/10/2016 09:33:43;0.0
05/10/2016 09:33:48;0.0
05/10/2016 09:33:53;0.0
05/10/2016 09:33:58;0.0
05/10/2016 09:34:03;0.0
05/10/2016 09:34:08;0.0
05/10/2016 09:34:13;0.0
05/10/2016 09:34:18;0.0
05/10/2016 09:34:23;0.0
05/10/2016 09:34:28;0.0
05/10/2016 09:34:33;0.0
05/10/2016 09:34:38;0.0
05/10/2016 09:34:43;0.0
05/10/2016 09:34:48;0.0
05/10/2016 09:34:53;0.0
05/10/2016 09:34:58;0.0
05/10/2016 09:35:03;0.0
05/10/2016 09:35:08;0.0
05/10/2016 09:35:13;0.0
05/10/2016 09:35:18;0.0
05/10/2016 09:35:23;0.08
05/10/2016 09:35:28;0.153
05/10/2016 09:35:33;0.191
05/10/2016 09:35:38;0.25
05/10/2016 09:35:43;0.288
05/10/2016 09:35:48;0.29
05/10/2016 09:35:53;0.29
05/10/2016 09:35:58;0.29
05/10/2016 09:36:03;0.29
05/10/2016 09:36:08;0.29
05/10/2016 09:36:13;0.181
05/10/2016 09:36:18;0.0
05/10/2016 09:36:23;0.0
05/10/2016 09:36:28;0.0
05/10/2016 09:36:33;0.0
05/10/2016 09:36:38;0.0
05/10/2016 09:36:43;0.0
05/10/2016 09:36:48;0.0
05/10/2016 09:36:53;0.0
05/10/2016 09:36:58;0.0
05/10/2016 09:37:03;0.0
05/10/2016 09:37:08;0.0
05/10/2016 09:37:13;0.0
05/10/2016 09:37:18;0.0
05/10/2016 09:37:23;0.058
05/10/2016 09:37:28;0.07
05/10/2016 09:37:33;0.067
05/10/2016 09:37:38;0.032
05/10/2016 09:37:43;0.003
05/10/2016 09:37:48;-0.008
05/10/2016 09:37:53;-0.013
05/10/2016 09:37:58;-0.015
05/10/2016 09:38:03;-0.015
05/10/2016 09:38:08;-0.012
05/10/2016 09:38:13;-0.004
05/10/2016 09:38:18;0.027
05/10/2016 09:38:23;0.035
05/10/2016 09:38:28;0.039
05/10/2016 09:38:33;0.034
05/10/2016 09:38:38;0.043
05/10/2016 09:38:43;0.044
05/10/2016 09:38:48;0.03
05/10/2016 09:38:53;0.044
05/10/2016 09:38:58;0.047
05/10/2016 09:39:03;0.051
05/10/2016 09:39:08;0.052
05/10/2016 09:39:13;0.056
05/10/2016 09:39:18;0.125
05/10/2016 09:39:23;0.157
05/10/2016 09:39:28;0.157
05/10/2016 09:39:33;0.153
05/10/2016 09:39:38;0.155
05/10/2016 09:39:43;0.15
05/10/2016 09:39:48;0.108
05/10/2016 09:39:53;0.026
05/10/2016 09:39:58;-0.012
05/10/2016 09:40:03;-0.013
05/10/2016 09:40:08;-0.013
05/10/2016 09:40:13;-0.013
05/10/2016 09:40:18;-0.005
05/10/2016 09:40:23;0.034
05/10/2016 09:40:28;0.039
05/10/2016 09:40:33;0.039
05/10/2016 09:40:38;0.039
05/10/2016 09:40:43;0.039
05/10/2016 09:40:48;0.039
05/10/2016 09:40:53;0.015
05/10/2016 09:40:58;0.0
05/10/2016 09:41:03;0.021
05/10/2016 09:41:08;0.041
05/10/2016 09:41:13;0.043
05/10/2016 09:41:18;0.032
05/10/2016 09:41:23;0.015
05/10/2016 09:41:28;-0.069
05/10/2016 09:41:33;-0.15
05/10/2016 09:41:38;-0.167
05/10/2016 09:41:43;-0.144
05/10/2016 09:41:48;-0.016
05/10/2016 09:41:53;0.025
05/10/2016 09:41:58;0.087
05/10/2016 09:42:03;0.146
05/10/2016 09:42:08;0.104
05/10/2016 09:42:13;0.071
05/10/2016 09:42:18;0.043
05/10/2016 09:42:23;0.001
05/10/2016 09:42:28;0.006
05/10/2016 09:42:33;-0.007
05/10/2016 09:42:38;0.003
05/10/2016 09:42:43;0.048
05/10/2016 09:42:48;0.069
05/10/2016 09:42:53;0.102
05/10/2016 09:42:58;0.088
05/10/2016 09:43:03;0.037
05/10/2016 09:43:08;-0.043
05/10/2016 09:43:13;-0.044
05/10/2016 09:43:18;-0.05
05/10/2016 09:43:23;-0.056
05/10/2016 09:43:28;-0.081
05/10/2016 09:43:33;-0.109
05/10/2016 09:43:38;-0.049
05/10/2016 09:43:43;-0.042
05/10/2016 09:43:48;-0.042
05/10/2016 09:43:53;-0.053
05/10/2016 09:43:58;-0.045
05/10/2016 09:44:03;-0.025
05/10/2016 09:44:08;0.027
05/10/2016 09:44:13;0.043
05/10/2016 09:44:18;0.043
05/10/2016 09:44:23;0.043
05/10/2016 09:44:28;0.043
05/10/2016 09:44:33;0.043
05/10/2016 09:44:38;0.041
05/10/2016 09:44:43;0.043
05/10/2016 09:44:48;0.09
05/10/2016 09:44:53;0.064
05/10/2016 09:44:58;0.004
05/10/2016 09:45:03;-0.017
05/10/2016 09:45:08;-0.04
05/10/2016 09:45:13;-0.044
05/10/2016 09:45:18;-0.089
05/10/2016 09:45:23;-0.108
05/10/2016 09:45:28;-0.082
05/10/2016 09:45:33;-0.083
05/10/2016 09:45:38;-0.064
05/10/2016 09:45:43;-0.062
05/10/2016 09:45:48;-0.056
05/10/2016 09:45:53;-0.014
05/10/2016 09:45:58;-0.001
05/10/2016 09:46:03;0.023
05/10/2016 09:46:08;0.019
05/10/2016 09:46:13;0.043
05/10/2016 09:46:18;0.046
05/10/2016 09:46:23;0.029
05/10/2016 09:46:28;0.024
05/10/2016 09:46:33;0.044
05/10/2016 09:46:38;0.025
05/10/2016 09:46:43;-0.011
05/10/2016 09:46:48;-0.002
05/10/2016 09:46:53;0.019
05/10/2016 09:46:58;0.056
05/10/2016 09:47:03;0.052
05/10/2016 09:47:08;0.06
05/10/2016 09:47:13;0.075
05/10/2016 09:47:18;0.083
05/10/2016 09:47:23;0.096
05/10/2016 09:47:28;0.05
05/10/2016 09:47:33;0.041
05/10/2016 09:47:38;0.041
05/10/2016 09:47:43;0.044
05/10/2016 09:47:48;-0.034
05/10/2016 09:47:53;-0.135
05/10/2016 09:47:58;-0.116
05/10/2016 09:48:03;-0.113
05/10/2016 09:48:08;-0.117
05/10/2016 09:48:13;-0.119
05/10/2016 09:48:18;-0.092
05/10/2016 09:48:23;0.003
05/10/2016 09:48:28;0.013
05/10/2016 09:48:33;0.003
05/10/2016 09:48:38;0.011
05/10/2016 09:48:43;0.037
05/10/2016 09:48:48;0.006
05/10/2016 09:48:53;-0.033
05/10/2016 09:48:58;-0.012
05/10/2016 09:49:03;-0.032
05/10/2016 09:49:08;-0.036
05/10/2016 09:49:13;-0.05
05/10/2016 09:49:18;-0.061
05/10/2016 09:49:23;-0.044
05/10/2016 09:49:28;-0.051
05/10/2016 09:49:33;-0.035
05/10/2016 09:49:38;0.004
05/10/2016 09:49:43;-0.022
05/10/2016 09:49:48;-0.019
05/10/2016 09:49:53;-0.004
05/10/2016 09:49:58;0.043
05/10/2016 09:50:03;0.052
